"EMPLOYER_STATE_PROVINCE","EMPLOYER_CITY","EMPLOYER_POSTAL_CODE","count"
"CALIFORNIA","MOUNTAIN VIEW","94043",1082
"WASHINGTON","SEATTLE","98109",1012
"TEXAS","COLLEGE STATION","77845",807
"WASHINGTON","REDMOND","98052",741
"CALIFORNIA","MENLO PARK","94025",543
"CALIFORNIA","SUNNYVALE","94085",532
"PENNSYLVANIA","PHILADELPHIA","19103",455
"CALIFORNIA","SAN JOSE","95134",422
"CALIFORNIA","SAN FRANCISCO","94105",328
"CALIFORNIA","SANTA CLARA","95054",321
"CALIFORNIA","CUPERTINO","95014",290
"ILLINOIS","CHICAGO","60606",281
"NEW YORK","NEW YORK","10178",280
"CALIFORNIA","SAN FRANCISCO","94103",260
"CALIFORNIA","PALO ALTO","94304",240
"CALIFORNIA","SAN JOSE","95110",230
"NEW JERSEY","SECAUCUS","07094",219
"CALIFORNIA","SAN DIEGO","92121",210
"CALIFORNIA","SUNNYVALE","94089",204
"NEW YORK","NEW YORK","10036",198
"NEW JERSEY","EDISON","08817",187
"ILLINOIS","CHICAGO","60601",179
"NEW YORK","NEW YORK","10022",174
"SOUTH CAROLINA","GREENVILLE","29607",172
"CALIFORNIA","SAN FRANCISCO","94107",164
"CALIFORNIA","REDWOOD SHORES","94065",163
"WASHINGTON","SEATTLE","98121",153
"NEW YORK","NEW YORK","10017",146
"ILLINOIS","CHICAGO","60603",142
"CALIFORNIA","SANTA CLARA","95052",141
"PENNSYLVANIA","NEWTOWN","18940",139
"NEW JERSEY","PLAINSBORO","08536",130
"NEW JERSEY","PRINCETON","08540",127
"NEW JERSEY","EAST BRUNSWICK","08816",124
"CALIFORNIA","FOSTER CITY","94404",121
"TEXAS","ROUND ROCK","78682",121
"VIRGINIA","MCLEAN","22102",119
"CALIFORNIA","MILPITAS","95035",118
"CALIFORNIA","SAN JOSE","95131",118
"CALIFORNIA","SANTA CLARA","95051",113
"FLORIDA","TAMPA","33605",108
"OREGON","SALEM","97305",107
"TEXAS","IRVING","75038",104
"MASSACHUSETTS","BOSTON","02116",102
"NEW YORK","NEW YORK","10001",100
"NEW JERSEY","PISCATAWAY","08854",98
"NEW YORK","NEW YORK","10019",95
"CALIFORNIA","SAN JOSE","95125",94
"MICHIGAN","AUBURN HILLS","48326",93
"NEW JERSEY","SOMERSET","08873",93
"NEW YORK","NEW YORK","10016",92
"NEW YORK","NEW YORK","10010",91
"NEW YORK","NEW YORK","10013",91
"CALIFORNIA","SAN FRANCISCO","94104",89
"INDIANA","COLUMBUS","47201",89
"CALIFORNIA","FREMONT","94538",86
"INDIANA","INDIANAPOLIS","46204",85
"MASSACHUSETTS","WOBURN","01801",83
"NEW JERSEY","SOUTH PLAINFIELD","07080",81
"TEXAS","PLANO","75024",80
"CALIFORNIA","PLEASANTON","94588",78
"NEW YORK","NEW YORK","10018",74
"MICHIGAN","TROY","48084",73
"WASHINGTON","SEATTLE","98101",73
"MICHIGAN MI","DETROIT","48265",72
"TEXAS","JERSEY VILLAGE","77040",71
"GEORGIA","ATLANTA","30328",68
"CALIFORNIA","REDWOOD CITY","94063",67
"WASHINGTON","SEATTLE","98119",67
"NEW JERSEY","WARREN","07059",66
"NORTH CAROLINA","CHARLOTTE","28255",66
"MISSOURI","NORTH KANSAS CITY","64117",65
"NEBRASKA","OMAHA","68102",64
"WISCONSIN","GREEN BAY","54303",62
"CALIFORNIA","SUNNYVALE","94086",60
"MASSACHUSETTS","BOSTON","02210",60
"ARKANSAS","BENTONVILLE","72716-0215",58
"OHIO GERBER POULTRY","KIDRON","44636",58
"GEORGIA","ATLANTA","30339",57
"NEW YORK","NEW YORK","10007",56
"TEXAS","DALLAS","75201",56
"CALIFORNIA","REDWOOD CITY","94065",55
"MICHIGAN","TROY","48083",55
"OHIO","DUBLIN","43017",55
"CALIFORNIA","LOS GATOS","95032",54
"NORTH CAROLINA","RTP","27709",54
"TEXAS","PLANO","75093",54
"GEORGIA","SUWANEE","30024",53
"MICHIGAN","FARMINGTON HILLS","48335",53
"NEW JERSEY","ISELIN","08830",53
"CALIFORNIA","SAN JOSE","95002",52
"CALIFORNIA","IRVINE","92618",51
"IDAHO","BOISE","83716",51
"VIRGINIA","FAIRFAX","22030",50
"ARKANSAS","LOWELL","72745",49
"MASSACHUSETTS","CAMBRIDGE","02142",49
"MASSACHUSETTS","NATICK","01760",49
"NEW JERSEY","EDISON","08837",49
"SOUTH CAROLINA","MONCKS CORNER","29461",49
"MASSACHUSETTS","WALTHAM","02451",48
"GEORGIA","ALPHARETTA","30005",47
"ILLINOIS","LINCOLNWOOD","60712",47
"WASHINGTON","SEATTLE","98104",47
